ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",52413,224,"North Carolina","04000US37","north-carolina"
2018,"2018",58198,1577,"Iredell County, NC","05000US37097","iredell-county-nc"
2018,"2018",64312,601,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2018,"2018",128255,16148.999999999998,"Davidson, NC","16000US3716400","davidson-nc"
2018,"2018",60822,480.00000000000006,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2018,"2018",60030,1559,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2018,"2018",86391,2766,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",50320,204,"North Carolina","04000US37","north-carolina"
2017,"2017",55957,1217,"Iredell County, NC","05000US37097","iredell-county-nc"
2017,"2017",61695,596,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2017,"2017",120658,17138,"Davidson, NC","16000US3716400","davidson-nc"
2017,"2017",57871,485.00000000000006,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2017,"2017",58368,1552,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2017,"2017",83131,2126,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",48256,229,"North Carolina","04000US37","north-carolina"
2016,"2016",53937,1143,"Iredell County, NC","05000US37097","iredell-county-nc"
2016,"2016",59268,718,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2016,"2016",109907,10529,"Davidson, NC","16000US3716400","davidson-nc"
2016,"2016",55191,484,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2016,"2016",55767,1340,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2016,"2016",80254,1623,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",46868,206,"North Carolina","04000US37","north-carolina"
2015,"2015",52306,1352,"Iredell County, NC","05000US37097","iredell-county-nc"
2015,"2015",56854,639,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2015,"2015",105083,12163,"Davidson, NC","16000US3716400","davidson-nc"
2015,"2015",53076,425.00000000000006,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2015,"2015",53738,1724,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2015,"2015",78457,1708,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",46693,191,"North Carolina","04000US37","north-carolina"
2014,"2014",51889,1397,"Iredell County, NC","05000US37097","iredell-county-nc"
2014,"2014",56472,675,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2014,"2014",94551,13729,"Davidson, NC","16000US3716400","davidson-nc"
2014,"2014",52591,446,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2014,"2014",53058,1690,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2014,"2014",77567,1515,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",46334,196,"North Carolina","04000US37","north-carolina"
2013,"2013",50329,1452,"Iredell County, NC","05000US37097","iredell-county-nc"
2013,"2013",55444,640,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2013,"2013",88750,11254,"Davidson, NC","16000US3716400","davidson-nc"
2013,"2013",52051,352,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2013,"2013",51846,1731.9999999999998,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2013,"2013",75947,1719,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
