ID Year,Year,Property Value,Property Value Moe,Geography,ID Geography,Slug Geography
2018,"2018",204900,173,"United States","01000US","united-states"
2018,"2018",165900,470,"North Carolina","04000US37","north-carolina"
2018,"2018",180700,4678,"Iredell County, NC","05000US37097","iredell-county-nc"
2018,"2018",219800,2029.0000000000002,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2018,"2018",292400,11298,"Cornelius, NC","16000US3714700","cornelius-nc"
2018,"2018",423000,20402,"Davidson, NC","16000US3716400","davidson-nc"
2018,"2018",137100,5817,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2018,"2018",187700,1049,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2018,"2018",192600,4905,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2018,"2018",247100,4783,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2017,"2017",193500,156,"United States","01000US","united-states"
2017,"2017",161000,389,"North Carolina","04000US37","north-carolina"
2017,"2017",173600,2775,"Iredell County, NC","05000US37097","iredell-county-nc"
2017,"2017",203900,2431,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2017,"2017",279000,12668,"Cornelius, NC","16000US3714700","cornelius-nc"
2017,"2017",406000,27725,"Davidson, NC","16000US3716400","davidson-nc"
2017,"2017",130300,5133,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2017,"2017",177000,1086,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2017,"2017",184800,4531,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2017,"2017",233500,4830,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2016,"2016",184700,160,"United States","01000US","united-states"
2016,"2016",157100,424,"North Carolina","04000US37","north-carolina"
2016,"2016",169300,2930,"Iredell County, NC","05000US37097","iredell-county-nc"
2016,"2016",192700,1739,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2016,"2016",258800,14206,"Cornelius, NC","16000US3714700","cornelius-nc"
2016,"2016",393300,20094,"Davidson, NC","16000US3716400","davidson-nc"
2016,"2016",125600,5312,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2016,"2016",170400,860.9999999999999,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2016,"2016",177200,4218,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2016,"2016",219200,4463,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2015,"2015",178600,133,"United States","01000US","united-states"
2015,"2015",154900,427,"North Carolina","04000US37","north-carolina"
2015,"2015",166300,2716,"Iredell County, NC","05000US37097","iredell-county-nc"
2015,"2015",184800,1903,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2015,"2015",239900,11193,"Cornelius, NC","16000US3714700","cornelius-nc"
2015,"2015",381200,26740,"Davidson, NC","16000US3716400","davidson-nc"
2015,"2015",122900,4356,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2015,"2015",166000,876,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2015,"2015",172800,3110,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2015,"2015",209600,4971,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2014,"2014",175700,224,"United States","01000US","united-states"
2014,"2014",153600,400,"North Carolina","04000US37","north-carolina"
2014,"2014",168000,3104,"Iredell County, NC","05000US37097","iredell-county-nc"
2014,"2014",181800,1602,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2014,"2014",239700,10208,"Cornelius, NC","16000US3714700","cornelius-nc"
2014,"2014",379200,35155,"Davidson, NC","16000US3716400","davidson-nc"
2014,"2014",124600,4533,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2014,"2014",164900,831,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2014,"2014",174700,4508,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2014,"2014",210400,4526,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
2013,"2013",176700,198,"United States","01000US","united-states"
2013,"2013",153600,481,"North Carolina","04000US37","north-carolina"
2013,"2013",166700,3615.9999999999995,"Iredell County, NC","05000US37097","iredell-county-nc"
2013,"2013",181900,2155,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc"
2013,"2013",247900,12806,"Cornelius, NC","16000US3714700","cornelius-nc"
2013,"2013",391300,46659,"Davidson, NC","16000US3716400","davidson-nc"
2013,"2013",127700,5511,"Kannapolis, NC","16000US3735200","kannapolis-nc"
2013,"2013",164800,838,"Charlotte-Concord-Gastonia, NC-SC","31000US16740","charlotte-concord-gastonia-nc-sc"
2013,"2013",174400,4683,"Mooresville Town & Statesville City PUMA, NC","79500US3702900","mooresville-town-statesville-city-puma-nc"
2013,"2013",211200,4139,"Huntersville, Cornelius & Davidson Towns PUMA, NC","79500US3703106","huntersville-cornelius-davidson-towns-puma-nc"
