ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,"2018",0,"Total",112049,16188.000000000002,"Census Tract 1, Mecklenburg County, NC","14000US37119000100"
2018,"2018",0,"Total",51875,32632,"Census Tract 3, Mecklenburg County, NC","14000US37119000300"
2018,"2018",0,"Total",74040,7143,"Census Tract 4, Mecklenburg County, NC","14000US37119000400"
2018,"2018",0,"Total",73867,9947,"Census Tract 5, Mecklenburg County, NC","14000US37119000500"
2018,"2018",0,"Total",53821,7184.000000000001,"Census Tract 6, Mecklenburg County, NC","14000US37119000600"
2018,"2018",0,"Total",62543,27646,"Census Tract 7, Mecklenburg County, NC","14000US37119000700"
2018,"2018",0,"Total",34952,8338,"Census Tract 8, Mecklenburg County, NC","14000US37119000800"
2018,"2018",0,"Total",46389,19280,"Census Tract 9, Mecklenburg County, NC","14000US37119000900"
2018,"2018",0,"Total",101994,14382,"Census Tract 10, Mecklenburg County, NC","14000US37119001000"
2018,"2018",0,"Total",100257,21077,"Census Tract 11, Mecklenburg County, NC","14000US37119001100"
2018,"2018",0,"Total",68115,24419,"Census Tract 12, Mecklenburg County, NC","14000US37119001200"
2018,"2018",0,"Total",38824,10577,"Census Tract 13, Mecklenburg County, NC","14000US37119001300"
2018,"2018",0,"Total",73244,6433,"Census Tract 14, Mecklenburg County, NC","14000US37119001400"
2018,"2018",0,"Total",33884,5556,"Census Tract 15.04, Mecklenburg County, NC","14000US37119001504"
2018,"2018",0,"Total",54643,15020,"Census Tract 15.05, Mecklenburg County, NC","14000US37119001505"
2018,"2018",0,"Total",29031,5662,"Census Tract 15.07, Mecklenburg County, NC","14000US37119001507"
2018,"2018",0,"Total",55389,4866,"Census Tract 15.08, Mecklenburg County, NC","14000US37119001508"
2018,"2018",0,"Total",43763,7213,"Census Tract 15.09, Mecklenburg County, NC","14000US37119001509"
2018,"2018",0,"Total",40625,7662,"Census Tract 15.10, Mecklenburg County, NC","14000US37119001510"
2018,"2018",0,"Total",44757,7691,"Census Tract 16.03, Mecklenburg County, NC","14000US37119001603"
2018,"2018",0,"Total",41250,7407,"Census Tract 16.05, Mecklenburg County, NC","14000US37119001605"
2018,"2018",0,"Total",47500,10454,"Census Tract 16.06, Mecklenburg County, NC","14000US37119001606"
2018,"2018",0,"Total",30774,1353,"Census Tract 16.07, Mecklenburg County, NC","14000US37119001607"
2018,"2018",0,"Total",36027,3333,"Census Tract 16.08, Mecklenburg County, NC","14000US37119001608"
2018,"2018",0,"Total",36528,7156.999999999999,"Census Tract 16.09, Mecklenburg County, NC","14000US37119001609"
2018,"2018",0,"Total",37367,5102,"Census Tract 17.01, Mecklenburg County, NC","14000US37119001701"
2018,"2018",0,"Total",36645,8021.999999999999,"Census Tract 17.02, Mecklenburg County, NC","14000US37119001702"
2018,"2018",0,"Total",37688,8267,"Census Tract 18.01, Mecklenburg County, NC","14000US37119001801"
2018,"2018",0,"Total",47835,6875.000000000001,"Census Tract 18.02, Mecklenburg County, NC","14000US37119001802"
2018,"2018",0,"Total",38579,4912,"Census Tract 19.10, Mecklenburg County, NC","14000US37119001910"
2018,"2018",0,"Total",45399,6312,"Census Tract 19.11, Mecklenburg County, NC","14000US37119001911"
2018,"2018",0,"Total",39844,5557,"Census Tract 19.12, Mecklenburg County, NC","14000US37119001912"
2018,"2018",0,"Total",42356,13471,"Census Tract 19.14, Mecklenburg County, NC","14000US37119001914"
2018,"2018",0,"Total",41867,5308,"Census Tract 19.15, Mecklenburg County, NC","14000US37119001915"
2018,"2018",0,"Total",52083,6671,"Census Tract 19.16, Mecklenburg County, NC","14000US37119001916"
2018,"2018",0,"Total",50547,8836,"Census Tract 19.17, Mecklenburg County, NC","14000US37119001917"
2018,"2018",0,"Total",41161,5837,"Census Tract 19.18, Mecklenburg County, NC","14000US37119001918"
2018,"2018",0,"Total",40208,4567,"Census Tract 19.19, Mecklenburg County, NC","14000US37119001919"
2018,"2018",0,"Total",35152,8316,"Census Tract 19.20, Mecklenburg County, NC","14000US37119001920"
2018,"2018",0,"Total",55403,6102,"Census Tract 19.21, Mecklenburg County, NC","14000US37119001921"
2018,"2018",0,"Total",48673,9062,"Census Tract 19.22, Mecklenburg County, NC","14000US37119001922"
2018,"2018",0,"Total",49413,6961,"Census Tract 19.23, Mecklenburg County, NC","14000US37119001923"
2018,"2018",0,"Total",89904,8728,"Census Tract 20.02, Mecklenburg County, NC","14000US37119002002"
2018,"2018",0,"Total",63561,17185,"Census Tract 20.03, Mecklenburg County, NC","14000US37119002003"
2018,"2018",0,"Total",61655,4549,"Census Tract 20.04, Mecklenburg County, NC","14000US37119002004"
2018,"2018",0,"Total",39679,5045,"Census Tract 21, Mecklenburg County, NC","14000US37119002100"
