ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2018,2018,118,80,"Davidson, NC",16000US3716400,davidson-nc,0.027615259
1,"$10,000-$14,999",2018,2018,40,43,"Davidson, NC",16000US3716400,davidson-nc,0.009361105
2,"$15,000-$19,999",2018,2018,88,57,"Davidson, NC",16000US3716400,davidson-nc,0.02059443
3,"$20,000-$24,999",2018,2018,74,53,"Davidson, NC",16000US3716400,davidson-nc,0.017318044
4,"$25,000-$29,999",2018,2018,117,65,"Davidson, NC",16000US3716400,davidson-nc,0.027381231
5,"$30,000-$34,999",2018,2018,47,42,"Davidson, NC",16000US3716400,davidson-nc,0.010999298
6,"$35,000-$39,999",2018,2018,117,94,"Davidson, NC",16000US3716400,davidson-nc,0.027381231
7,"$40,000-$44,999",2018,2018,30,28,"Davidson, NC",16000US3716400,davidson-nc,0.007020828
8,"$45,000-$49,999",2018,2018,119,70,"Davidson, NC",16000US3716400,davidson-nc,0.027849286
9,"$50,000-$59,999",2018,2018,226,92,"Davidson, NC",16000US3716400,davidson-nc,0.052890241
10,"$60,000-$74,999",2018,2018,274,108,"Davidson, NC",16000US3716400,davidson-nc,0.064123567
11,"$75,000-$99,999",2018,2018,396,125,"Davidson, NC",16000US3716400,davidson-nc,0.092674936
12,"$100,000-$124,999",2018,2018,466,121,"Davidson, NC",16000US3716400,davidson-nc,0.109056869
13,"$125,000-$149,999",2018,2018,372,117,"Davidson, NC",16000US3716400,davidson-nc,0.087058273
14,"$150,000-$199,999",2018,2018,499,148,"Davidson, NC",16000US3716400,davidson-nc,0.11677978
15,"$200,000+",2018,2018,1290,176,"Davidson, NC",16000US3716400,davidson-nc,0.301895624
0,"< $10,000",2017,2017,141,86,"Davidson, NC",16000US3716400,davidson-nc,0.034057971
1,"$10,000-$14,999",2017,2017,74,49,"Davidson, NC",16000US3716400,davidson-nc,0.017874396
2,"$15,000-$19,999",2017,2017,95,58,"Davidson, NC",16000US3716400,davidson-nc,0.02294686
3,"$20,000-$24,999",2017,2017,110,56,"Davidson, NC",16000US3716400,davidson-nc,0.026570048
4,"$25,000-$29,999",2017,2017,94,61,"Davidson, NC",16000US3716400,davidson-nc,0.022705314
5,"$30,000-$34,999",2017,2017,65,45,"Davidson, NC",16000US3716400,davidson-nc,0.015700483
6,"$35,000-$39,999",2017,2017,46,26,"Davidson, NC",16000US3716400,davidson-nc,0.011111111
7,"$40,000-$44,999",2017,2017,95,66,"Davidson, NC",16000US3716400,davidson-nc,0.02294686
8,"$45,000-$49,999",2017,2017,82,56,"Davidson, NC",16000US3716400,davidson-nc,0.019806763
9,"$50,000-$59,999",2017,2017,293,135,"Davidson, NC",16000US3716400,davidson-nc,0.070772947
10,"$60,000-$74,999",2017,2017,213,82,"Davidson, NC",16000US3716400,davidson-nc,0.051449275
11,"$75,000-$99,999",2017,2017,398,132,"Davidson, NC",16000US3716400,davidson-nc,0.096135266
12,"$100,000-$124,999",2017,2017,384,118,"Davidson, NC",16000US3716400,davidson-nc,0.092753623
13,"$125,000-$149,999",2017,2017,379,124,"Davidson, NC",16000US3716400,davidson-nc,0.091545894
14,"$150,000-$199,999",2017,2017,559,154,"Davidson, NC",16000US3716400,davidson-nc,0.135024155
15,"$200,000+",2017,2017,1112,164,"Davidson, NC",16000US3716400,davidson-nc,0.268599034
0,"< $10,000",2016,2016,121,69,"Davidson, NC",16000US3716400,davidson-nc,0.030024814
1,"$10,000-$14,999",2016,2016,51,39,"Davidson, NC",16000US3716400,davidson-nc,0.012655087
2,"$15,000-$19,999",2016,2016,78,50,"Davidson, NC",16000US3716400,davidson-nc,0.019354839
3,"$20,000-$24,999",2016,2016,110,72,"Davidson, NC",16000US3716400,davidson-nc,0.027295285
4,"$25,000-$29,999",2016,2016,122,82,"Davidson, NC",16000US3716400,davidson-nc,0.030272953
