year,race,value,pov
2013,Two or More,3919,1
2013,Two or More,20523,0
2014,Two or More,5593,1
2014,Two or More,25515,0
2015,Two or More,6131,1
2015,Two or More,19870,0
2016,Two or More,3041,1
2016,Two or More,23096,0
2017,Two or More,4391,1
2017,Two or More,27836,0
2018,Two or More,3792,1
2018,Two or More,24837,0
2013,Other,11296,1
2013,Other,41426,0
2014,Other,15230,1
2014,Other,33749,0
2015,Other,13398,1
2015,Other,25723,0
2016,Other,16310,1
2016,Other,39443,0
2017,Other,15636,1
2017,Other,45864,0
2018,Other,18035,1
2018,Other,50177,0
2013,Asian,7037,1
2013,Asian,40997,0
2014,Asian,4891,1
2014,Asian,47359,0
2015,Asian,7488,1
2015,Asian,48730,0
2016,Asian,4866,1
2016,Asian,54131,0
2017,Asian,7954,1
2017,Asian,53583,0
2018,Asian,11722,1
2018,Asian,56161,0
2013,Black,71563,1
2013,Black,234385,0
2014,Black,71870,1
2014,Black,233372,0
2015,Black,60786,1
2015,Black,254431,0
2016,Black,50604,1
2016,Black,278492,0
2017,Black,45575,1
2017,Black,286779,0
2018,Black,50924,1
2018,Black,292069,0
2013,White,53561,1
2013,White,486712,0
2014,White,52070,1
2014,White,504801,0
2015,White,56496,1
2015,White,522951,0
2016,White,49885,1
2016,White,516443,0
2017,White,42996,1
2017,White,527244,0
2018,White,41256,1
2018,White,523727,0
