year,race,value,pov,
2015,Black,750,0,
2015,Black,71,1,
2016,Black,675,0,
2016,Black,86,1,
2013,Black,813,0,
2013,Black,67,1,
2014,Black,869,0,
2014,Black,76,1,
2017,Black,459,0,
2017,Black,13,1,
2018,Black,355,0,
2018,Black,13,1,
2019,Black,478,0,
2019,Black,57,1,
2013,White,8112,0,
2013,White,561,1,
2014,White,8556,0,
2014,White,443,1,
2017,White,9955,0,
2017,White,481,1,
2018,White,10505,0,
2018,White,281,1,
2019,White,10368,0,
2019,White,266,1,
2015,White,8997,0,
2015,White,495,1,
2016,White,9361,0,
2016,White,399,1,
